156,8
147,25
159,29
145,39
163,43
134,47
147,52
160,56
140,62
169,65
151,70
129,71
166,78
138,85
120,88
181,88
161,89
149,94
129,97
177,100
112,101
163,101
140,104
154,110
122,112
109,114
141,117
178,117
96,118
164,118
128,124
100,130
140,130
152,131
166,133
115,134
128,137
180,137
92,141
168,145
110,146
137,149
180,149
152,152
99,153
123,156
109,159
187,159
88,160
171,160
139,162
199,164
157,168
103,170
121,172
185,172
86,174
73,176
174,178
139,183
188,184
156,186
203,186
107,187
89,191
173,191
77,193
59,194
125,194
144,195
101,198
160,198
197,198
183,200
76,205
62,208
110,208
140,209
161,211
95,214
193,214
125,216
178,216
148,219
206,219
77,221
160,224
64,226
48,227
95,227
132,228
107,230
183,232
144,233
195,233
168,234
73,235
119,235
208,236
85,237
61,239
48,240
130,242
157,242
145,247
191,247
101,248
35,249
80,250
117,250
211,251
178,252
62,253
47,256
132,256
94,258
188,259
166,261
116,263
149,263
202,264
33,265
104,267
129,268
50,269
77,270
185,272
62,274
211,275
165,276
197,276
118,277
30,278
87,279
143,279
106,281
130,281
177,283
49,286
212,288
69,289
198,289
117,290
148,291
38,292
135,292
160,292
104,295
223,295
20,297
173,297
188,297
78,299
91,299
54,302
213,303
142,304
112,305
33,306
193,308
177,310
97,311
46,312
125,312
163,312
73,313
22,314
59,315
86,316
110,317
8,318
142,318
220,319
155,321
174,322
191,322
206,322
230,326
30,327
78,327
17,328
42,328
114,329
65,330
101,330
126,333
139,333
158,334
171,335
185,335
203,336
218,338
231,339
