144,415,15
145,409,10
115,408,17
108,406,20
136,404,20
133,400,3
138,385,4
117,370,8
120,357,11
144,339,11
138,330,15
133,307,94
143,298,12
121,267,15
128,256,21
118,236,12
120,221,15
126,196,59
146,185,115
122,156,15
122,138,15
146,134,85
116,110,101
120,90,51
144,80,54
149,81,50
126,89,13
135,114,15
144,126,14
152,159,23
131,184,16
146,199,73
154,211,22
126,230,13
127,247,12
151,270,115
134,293,11
155,297,66
138,309,73
151,331,10
156,338,13
129,360,14
150,375,7
142,401,22
147,394,11
164,394,12
147,402,22
180,400,3
183,403,8
187,409,19
